Criteria
aesthetics
enlightening
efficiency
effectiveness
emotional
elegance
heart
enlightening
original
organized
insightful
engaging
aesthetics
accurate
unique
engaging
understandable
understandable
aesthetics
complexity
understandable
originality
aesthetics
accessible
useful
aesthetics
purpose
ability to intrigue
aesthetics
organized
truthful
simplicity
efficiency
aesthetics
truthful
intuition
aesthetics
intuitive
analysis
reliable
aesthetics
colour
foundation
aesthetics
functionality
connection
aesthetics
simplicity
motivating
persuasive
cognitive
intellectual
simplicity
intrigue
emotional/intellectual
comprehensibility
impact
aesthetics
truthful
complexity
comprehensibility
simplicity
complexity
